"name","group","party","birth_date","birth_place","link_email","link_twitt","link_fb","link_instagram","link_linkedin","link_website","link_youtube","link_telegram","link_blog","link_europeanblog"
"Elena Sancho Murillo","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","Spain
						 
							 - Partido Socialista Obrero Español (Spain)","1989-01-26","Ribaforada","ue[dot]aporue.lraporue[at]ollirumohcnas.anele",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jussi Saramo","The Left group in the European Parliament - GUE/NGL","Finland
						 
							 - Vasemmistoliitto (Finland)",NA,NA,"ue[dot]aporue.lraporue[at]omaras.issuj","https://x.com/jussisaramo","https://www.facebook.com/jsaramo/","https://www.instagram.com/jussisaramo/",NA,"https://www.saramo.net/",NA,NA,NA,NA
"Silvia Sardone","Patriots for Europe Group","Italy
						 
							 - Lega (Italy)","1982-12-25","Milan","ue[dot]aporue.lraporue[at]enodras.aivlis","https://twitter.com/SardoneSilvia","https://www.facebook.com/silviasardone","https://www.instagram.com/silviasardone/",NA,"https://silviasardone.it/",NA,NA,NA,NA
"Marjan Šarec","Renew Europe Group","Slovenia
						 
							 - Gibanje Svoboda (Slovenia)","1977-12-02","Ljubljana","ue[dot]aporue.lraporue[at]ceras.najram",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eric Sargiacomo","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","France
						 
							 - Parti socialiste (France)","1969-10-31","LOUHANS","ue[dot]aporue.lraporue[at]omocaigras.cire",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mounir Satouri","Group of the Greens/European Free Alliance","France
						 
							 - Les Écologistes (France)","1975-05-25","Casablanca","ue[dot]aporue.lraporue[at]iruotas.rinuom","https://twitter.com/mounirsatouri","https://www.facebook.com/mounir.satouri",NA,NA,NA,NA,NA,NA,NA
"Paulius Saudargas","Group of the European People's Party (Christian Democrats)","Lithuania
						 
							 - Tėvynės sąjunga-Lietuvos krikščionys demokratai (Lithuania)","1979-03-13","Kaunas","ue[dot]aporue.lraporue[at]sagraduas.suiluap","http://www.x.com/psaudargas","http://www.facebook.com/saudargas.paulius","http://www.instagram.com/pauliussaudargas",NA,NA,"http://www.youtube.com/@pauliussaudargas8190",NA,NA,NA
"Majdouline Sbai","Group of the Greens/European Free Alliance","France
						 
							 - Les Écologistes (France)",NA,NA,"ue[dot]aporue.lraporue[at]iabs.eniluodjam",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Antonella Sberna","European Conservatives and Reformists Group","Italy
						 
							 - FRATELLI D' ITALIA (Italy)","1982-01-11","Roma","ue[dot]aporue.lraporue[at]anrebs.allenotna",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Christel Schaldemose","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","Denmark
						 
							 - Socialdemokratiet (Denmark)","1967-08-04","Odense","ue[dot]aporue.lraporue[at]esomedlahcs.letsirhc","https://twitter.com/SchaldemoseMEP","https://www.facebook.com/ChristelSchaldemose",NA,NA,"http://www.christels.dk",NA,NA,NA,NA
"Ernő Schaller-Baross","Patriots for Europe Group","Hungary
						 
							 - Fidesz-Magyar Polgári Szövetség-Kereszténydemokrata Néppárt (Hungary)",NA,NA,"ue[dot]aporue.lraporue[at]ssorab-rellahcs.onre",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Oliver Schenk","Group of the European People's Party (Christian Democrats)","Germany
						 
							 - Christlich Demokratische Union Deutschlands (Germany)","1968-08-14","Dachau","ue[dot]aporue.lraporue[at]knehcs.revilo","https://x.com/oliverdd?lang=de","https://www.facebook.com/oliverschenk.eu/","https://www.instagram.com/oliverschenk_eu/",NA,"https://www.oliver-schenk.de/",NA,NA,NA,NA
"Joanna Scheuring-Wielgus","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","Poland
						 
							 - Nowa Lewica (Poland)","1972-02-08","Torun","ue[dot]aporue.lraporue[at]sugleiw-gniruehcs.annaoj","https://x.com/joankasw","https://www.facebook.com/j.scheuringwielgus/?locale=nl_NL","https://www.instagram.com/joanna.sw/",NA,NA,NA,NA,NA,NA
"Andreas Schieder","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","Austria
						 
							 - Sozialdemokratische Partei Österreichs (Austria)","1969-04-16","Wien","ue[dot]aporue.lraporue[at]redeihcs.saerdna","https://twitter.com/schieder","https://www.facebook.com/andreas.schieder.eu","https://www.instagram.com/Andreas.Schieder",NA,NA,NA,NA,NA,NA
"Lena Schilling","Group of the Greens/European Free Alliance","Austria
						 
							 - Die Grünen - Die Grüne Alternative (Austria)","2001-01-08","Vienna","ue[dot]aporue.lraporue[at]gnillihcs.anel",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Martin Schirdewan","The Left group in the European Parliament - GUE/NGL","Germany
						 
							 - DIE LINKE. (Germany)",NA,NA,"ue[dot]aporue.lraporue[at]nawedrihcs.nitram","www.twitter.com/schirdewan","www.facebook.de/mschirdewan",NA,NA,"https://www.martin-schirdewan.eu/",NA,NA,NA,NA
"Christine Schneider","Group of the European People's Party (Christian Democrats)","Germany
						 
							 - Christlich Demokratische Union Deutschlands (Germany)","1972-06-05","Landau","ue[dot]aporue.lraporue[at]redienhcs.enitsirhc","https://x.com/ChSchneider","https://www.facebook.com/christine.schneider.mdep","https://www.instagram.com/christineschneider_mdep/",NA,"https://www.christine-schneider.de/",NA,NA,NA,NA
"Andreas Schwab","Group of the European People's Party (Christian Democrats)","Germany
						 
							 - Christlich Demokratische Union Deutschlands (Germany)",NA,NA,"ue[dot]aporue.lraporue[at]bawhcs.saerdna","https://twitter.com/Andreas_Schwab","https://www.facebook.com/aschwab.mdep/","https://www.instagram.com/andreasschwab_mdep/?igshid=1qkxgol6ax7b6",NA,"https://www.andreas-schwab.de",NA,NA,NA,NA
"Benedetta Scuderi","Group of the Greens/European Free Alliance","Italy
						 
							 - Europa Verde - Verdi (Italy)","1991-09-08","Agropoli","ue[dot]aporue.lraporue[at]ireducs.attedeneb",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ralf Seekatz","Group of the European People's Party (Christian Democrats)","Germany
						 
							 - Christlich Demokratische Union Deutschlands (Germany)",NA,NA,"ue[dot]aporue.lraporue[at]ztakees.flar",NA,"https://www.facebook.com/ralf.seekatz","https://www.instagram.com/ralfseekatz_mdep/",NA,"http://www.ralf-seekatz.eu/",NA,NA,NA,NA
"Alexander Sell","Europe of Sovereign Nations Group","Germany
						 
							 - Alternative für Deutschland (Germany)","1980-11-25","Mainz","ue[dot]aporue.lraporue[at]lles.rednaxela",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rosa Serrano Sierra","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","Spain
						 
							 - Partido Socialista Obrero Español (Spain)",NA,NA,"ue[dot]aporue.lraporue[at]arreisonarres.asor",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Isabel Serra Sánchez","The Left group in the European Parliament - GUE/NGL","Spain
						 
							 - PODEMOS (Spain)",NA,NA,"ue[dot]aporue.lraporue[at]zehcnasarres.lebasi",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Günther Sidl","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","Austria
						 
							 - Sozialdemokratische Partei Österreichs (Austria)",NA,NA,"ue[dot]aporue.lraporue[at]ldis.rehtneug",NA,"https://www.facebook.com/sidl.guenther","https://www.instagram.com/guenther_sidl/",NA,"https://sidl.at/",NA,NA,NA,NA
"Bartłomiej Sienkiewicz","Group of the European People's Party (Christian Democrats)","Poland
						 
							 - Platforma Obywatelska (Poland)","1961-07-29","Kielce","ue[dot]aporue.lraporue[at]zciweikneis.jeimoltrab","https://x.com/BartSienkiewicz",NA,"https://www.instagram.com/bartlomiej_sienkiewicz/",NA,NA,NA,NA,NA,NA
"Lukas Sieper","Non-attached Members","Germany
						 
							 - Partei des Fortschritts (Germany)","1997-03-22","Bergisch Gladbach","ue[dot]aporue.lraporue[at]repeis.sakul","https://x.com/lukassieperMdEP","https://www.facebook.com/people/Lukas-Sieper/pfbid036GhTzbrUm9w1pSrrdC9ddWE8es1VuyQqPHyb5WXj6PBthfP5GppehPVnW3Nmqih7l/","https://www.instagram.com/lukas_sieper/",NA,"https://partei-des-fortschritts.de/",NA,NA,NA,NA
"Sven Simon","Group of the European People's Party (Christian Democrats)","Germany
						 
							 - Christlich Demokratische Union Deutschlands (Germany)","1978-10-09","Lahn-Wetzlar","ue[dot]aporue.lraporue[at]nomis.nevs","https://twitter.com/svensimon","https://www.facebook.com/simonMEP","https://www.instagram.com/simonmep/","https://de.linkedin.com/in/sven-simon-0517755b","http://www.sven-simon.eu",NA,NA,NA,NA
"Christine Singer","Renew Europe Group","Germany
						 
							 - Freie Wähler (Germany)",NA,NA,"ue[dot]aporue.lraporue[at]regnis.enitsirhc",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Virginijus Sinkevičius","Group of the Greens/European Free Alliance","Lithuania
						 
							 - Demokratų sąjunga „Vardan Lietuvos“ (Lithuania)","1990-11-04","Vilnius","ue[dot]aporue.lraporue[at]suiciveknis.sujinigriv",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Birgit Sippel","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","Germany
						 
							 - Sozialdemokratische Partei Deutschlands (Germany)","1960-01-29","Bochum","ue[dot]aporue.lraporue[at]leppis.tigrib","https://twitter.com/BirgitSippelMEP","https://www.facebook.com/BirgitSippel","https://www.instagram.com/birgit_sippel",NA,"http://www.birgitsippel.de","https://www.youtube.com/user/birgitsippel",NA,NA,NA
"Jonas Sjöstedt","The Left group in the European Parliament - GUE/NGL","Sweden
						 
							 - Vänsterpartiet (Sweden)","1964-12-25","Göteborg","ue[dot]aporue.lraporue[at]tdetsojs.sanoj",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Krzysztof Śmiszek","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","Poland
						 
							 - Nowa Lewica (Poland)","1979-08-25","STALOWA WOLA","ue[dot]aporue.lraporue[at]kezsims.fotzsyzrk",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anthony Smith","The Left group in the European Parliament - GUE/NGL","France
						 
							 - La France Insoumise (France)",NA,NA,"ue[dot]aporue.lraporue[at]htims.ynohtna",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sander Smit","Group of the European People's Party (Christian Democrats)","Netherlands
						 
							 - BoerBurgerBeweging (Netherlands)","1985-07-29","Goor","ue[dot]aporue.lraporue[at]tims.rednas","https://x.com/sandersmitwzn",NA,"https://www.instagram.com/sandersmitwzn/","https://nl.linkedin.com/in/smitwzn",NA,NA,NA,NA,NA
"Tomislav Sokol","Group of the European People's Party (Christian Democrats)","Croatia
						 
							 - Hrvatska demokratska zajednica (Croatia)","1982-09-20","Zagreb","ue[dot]aporue.lraporue[at]lokos.valsimot","https://twitter.com/TomislavSokol","https://www.facebook.com/TomislavSokol/","https://www.instagram.com/tomislav__sokol/",NA,"https://www.tomislavsokol.eu/",NA,NA,NA,NA
"Diego Solier","Non-attached Members","Spain
						 
							 - Se Acabó la Fiesta (Spain)","1980-04-26","Valencia","ue[dot]aporue.lraporue[at]zednanrefreilos.ogeid",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Susana Solís Pérez","Group of the European People's Party (Christian Democrats)","Spain
						 
							 - Partido Popular (Spain)",NA,NA,"ue[dot]aporue.lraporue[at]zerepsilos.anasus","https://twitter.com/susanasolisp",NA,"https://www.instagram.com/susanasolisp/","https://www.linkedin.com/in/susana-sol%C3%ADs-p%C3%A9rez/?originalSubdomain=be",NA,NA,NA,NA,NA
"Liesbet Sommen","Group of the European People's Party (Christian Democrats)","Belgium
						 
							 - Christen-Democratisch & Vlaams (Belgium)",NA,NA,"ue[dot]aporue.lraporue[at]nemmos.tebseil","https://x.com/LiesbetSommen",NA,"https://www.instagram.com/sommenliesbet/",NA,NA,NA,NA,NA,NA
"Martin Sonneborn","Non-attached Members","Germany
						 
							 - Die PARTEI (Germany)",NA,NA,"ue[dot]aporue.lraporue[at]nrobennos.nitram","https://twitter.com/MartinSonneborn","https://www.facebook.com/Martin-Sonneborn-178442508884215","https://www.instagram.com/martinhsonneborn/?hl=de",NA,"https://martinsonneborn.de","https://www.youtube.com/user/MartinSonneborn",NA,NA,NA
"Malika Sorel","Patriots for Europe Group","France
						 
							 - Sans parti (France)",NA,NA,"ue[dot]aporue.lraporue[at]leros.akilam",NA,NA,NA,NA,NA,NA,NA,"http://www.malikasorel.fr/",NA
"Hélder Sousa Silva","Group of the European People's Party (Christian Democrats)","Portugal
						 
							 - Partido Social Democrata (Portugal)","1965-07-21","Mafra","ue[dot]aporue.lraporue[at]avlisasuos.redleh","https://x.com/HlderSousaSilv1","https://www.facebook.com/HelderSousaSilvaPSD21","https://www.instagram.com/heldersousa.silva/","https://www.linkedin.com/in/helder-sousa-silva-79970938/","https://www.heldersousasilva.eu/",NA,NA,NA,NA
"Villy Søvndal","Group of the Greens/European Free Alliance","Denmark
						 
							 - Socialistisk Folkeparti (Denmark)","1952-04-04","Struer","ue[dot]aporue.lraporue[at]ladnvos.ylliv",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Marco Squarta","European Conservatives and Reformists Group","Italy
						 
							 - FRATELLI D' ITALIA (Italy)","1979-06-04","Perugia","ue[dot]aporue.lraporue[at]atrauqs.ocram",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mārtiņš Staķis","Group of the Greens/European Free Alliance","Latvia
						 
							 - Progresīvie (Latvia)","1979-07-04","Tukums","ue[dot]aporue.lraporue[at]sikats.snitram",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Raffaele Stancanelli","Patriots for Europe Group","Italy
						 
							 - Lega (Italy)","1950-06-30","Regalbuto","ue[dot]aporue.lraporue[at]illenacnats.eleaffar",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nicolae Ştefănuță","Group of the Greens/European Free Alliance","Romania
						 
							 - Independent (Romania)","1982-01-03","Rășinari","ue[dot]aporue.lraporue[at]atunafets.ealocin","https://twitter.com/nicustefanuta","https://www.facebook.com/NicuStefanutaMEP/","https://www.instagram.com/nicustefanuta","https://www.linkedin.com/in/nicolaestefanuta/","https://www.stefanuta.ro/","https://www.youtube.com/@nicustefanuta8525/videos",NA,NA,NA
"Petra Steger","Patriots for Europe Group","Austria
						 
							 - Freiheitliche Partei Österreichs (Austria)","1987-10-04","Vienna","ue[dot]aporue.lraporue[at]regets.artep",NA,"https://www.facebook.com/stegerpetra","https://www.instagram.com/stegerpetra/",NA,NA,"https://www.youtube.com/@PetraSteger-hp1re",NA,NA,NA
"Davor Ivo Stier","Group of the European People's Party (Christian Democrats)","Croatia
						 
							 - Hrvatska demokratska zajednica (Croatia)","1972-01-06","Buenos Aires","ue[dot]aporue.lraporue[at]reits.ovirovad",NA,NA,"https://www.instagram.com/davor_ivo_stier/",NA,NA,NA,NA,NA,NA
"Kristoffer Storm","European Conservatives and Reformists Group","Denmark
						 
							 - Danmarksdemokraterne (Denmark)","1989-01-26","Hillerød","ue[dot]aporue.lraporue[at]mrots.reffotsirk","https://x.com/kristofferstorm","https://www.facebook.com/KristofferHjortStorm/","https://www.instagram.com/kristofferhjortstorm/","https://www.linkedin.com/in/kristoffer-storm-0a29b5111/",NA,NA,NA,NA,NA
"Sebastiaan Stöteler","Patriots for Europe Group","Netherlands
						 
							 - Partij voor de Vrijheid (Netherlands)",NA,NA,"ue[dot]aporue.lraporue[at]reletots.naaitsabes","https://x.com/stoteler_pvv",NA,NA,NA,NA,NA,NA,NA,NA
"Stanislav Stoyanov","Europe of Sovereign Nations Group","Bulgaria
						 
							 - Revival (Bulgaria)",NA,NA,"ue[dot]aporue.lraporue[at]vonayots.valsinats",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Marie-Agnes Strack-Zimmermann","Renew Europe Group","Germany
						 
							 - Freie Demokratische Partei (Germany)","1958-03-10","Düsseldorf","ue[dot]aporue.lraporue[at]nnamremmiz-kcarts.senga-eiram","https://twitter.com/MAStrackZi","https://www.facebook.com/mastrackzimmermann","https://www.instagram.com/strackzimmermann","https://www.linkedin.com/in/strack-zimmermann","https://www.strackzimmermann.de/","https://www.youtube.com/MarieAgnesStrackZimmermannFDP",NA,NA,NA
"Cecilia Strada","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","Italy
						 
							 - Partito Democratico (Italy)","1979-03-12","Milan","ue[dot]aporue.lraporue[at]adarts.ailicec",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Joachim Streit","Renew Europe Group","Germany
						 
							 - Freie Wähler (Germany)",NA,NA,"ue[dot]aporue.lraporue[at]tierts.mihcaoj",NA,"https://www.facebook.com/JoachimStreit21","https://www.instagram.com/joachimstreit?igsh=NzFxaDFkbjR1NHp1&utm_source=qr",NA,NA,NA,NA,NA,NA
"Tineke Strik","Group of the Greens/European Free Alliance","Netherlands
						 
							 - GroenLinks (Netherlands)","1961-09-28","Appeltern","ue[dot]aporue.lraporue[at]kirts.ekenit","https://twitter.com/tineke_strik",NA,NA,NA,NA,NA,NA,NA,NA
"Anna Strolenberg","Group of the Greens/European Free Alliance","Netherlands
						 
							 - Volt (Netherlands)","1995-07-23","Utrecht","ue[dot]aporue.lraporue[at]grebnelorts.anna",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Şerban-Dimitrie Sturdza","European Conservatives and Reformists Group","Romania
						 
							 - Alianța pentru Unirea Românilor (Romania)","1967-03-30","Bucarest","ue[dot]aporue.lraporue[at]azdruts.eirtimid.nabres",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anna Stürgkh","Renew Europe Group","Austria
						 
							 - NEOS – Das Neue Österreich (Austria)","1994-04-02","Wien","ue[dot]aporue.lraporue[at]hkgruts.anna",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Marcin Sypniewski","Europe of Sovereign Nations Group","Poland
						 
							 - Konfederacja Wolność i Niepodległość (Poland)","1979-01-30","Bydgoszcz","ue[dot]aporue.lraporue[at]iksweinpys.nicram",NA,"https://www.facebook.com/sypniewskimarcin",NA,"https://linkedin.com/in/sypniewskimarcin","https://marcinsypniewski.pl","https://youtube.com/@MarcinSypniewski?si=Or1jsHUQjQjy-EbI",NA,NA,NA
"Michał Szczerba","Group of the European People's Party (Christian Democrats)","Poland
						 
							 - Platforma Obywatelska (Poland)","1977-12-14","Warszawa","ue[dot]aporue.lraporue[at]abrezczs.lahcim","https://x.com/michalszczerba",NA,"https://www.instagram.com/michal.szczerba/",NA,NA,NA,NA,NA,NA
"Pál Szekeres","Patriots for Europe Group","Hungary
						 
							 - Fidesz-Magyar Polgári Szövetség-Kereszténydemokrata Néppárt (Hungary)","1964-09-22","Budapest","ue[dot]aporue.lraporue[at]serekezs.lap",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Beata Szydło","European Conservatives and Reformists Group","Poland
						 
							 - Prawo i Sprawiedliwość (Poland)","1963-04-15","Oswiecim","ue[dot]aporue.lraporue[at]oldyzs.ataeb","https://twitter.com/BeataSzydlo","https://facebook.com/BeataSzydlo","https://instagram.com/szydlo.beata",NA,NA,NA,NA,NA,NA
"Dario Tamburrano","The Left group in the European Parliament - GUE/NGL","Italy
						 
							 - Movimento 5 Stelle (Italy)","1969-08-27","Roma","ue[dot]aporue.lraporue[at]onarrubmat.oirad",NA,NA,NA,NA,NA,NA,NA,NA,NA
"António Tânger Corrêa","Patriots for Europe Group","Portugal
						 
							 - Chega (Portugal)","1952-04-24","Lisbon","ue[dot]aporue.lraporue[at]aerrocregnat.oinotna",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dominik Tarczyński","European Conservatives and Reformists Group","Poland
						 
							 - Prawo i Sprawiedliwość (Poland)",NA,NA,"ue[dot]aporue.lraporue[at]iksnyzcrat.kinimod","https://twitter.com/d_tarczynski",NA,NA,NA,NA,NA,NA,NA,NA
"Marco Tarquinio","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","Italy
						 
							 - Partito Democratico (Italy)","1958-03-16","FOLIGNO","ue[dot]aporue.lraporue[at]oiniuqrat.ocram",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Zoltán Tarr","Group of the European People's Party (Christian Democrats)","Hungary
						 
							 - Tisztelet és Szabadság Párt (Hungary)","1972-02-12","Budapest","ue[dot]aporue.lraporue[at]rrat.natloz",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Claudiu-Richard Târziu","European Conservatives and Reformists Group","Romania
						 
							 - Alianța pentru Unirea Românilor (Romania)","1973-02-20","Bacău","ue[dot]aporue.lraporue[at]uizrat.drahcir-uidualc",NA,"https://www.facebook.com/claudiutarziuaur/",NA,NA,NA,NA,NA,NA,NA
"Carla Tavares","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","Portugal
						 
							 - Partido Socialista (Portugal)","1970-08-15",NA,"ue[dot]aporue.lraporue[at]seravatsenun.airamalrac",NA,"https://www.facebook.com/CarlaTavaresPartidoSocialista","https://www.instagram.com/carlatavares_ps","https://www.linkedin.com/in/carla-tavares-26648660?utm_source=share&utm_campaign=share_via&utm_content=profile&utm_medium=ios_app",NA,NA,NA,NA,NA
"Kai Tegethoff","Group of the Greens/European Free Alliance","Germany
						 
							 - Volt (Germany)","1984-07-19","Köln","ue[dot]aporue.lraporue[at]ffohteget.iak",NA,"https://www.facebook.com/kai.tegethoff.90","https://www.instagram.com/kaitegethoff/","https://www.linkedin.com/in/kaitegethoff",NA,NA,NA,NA,NA
"Marta Temido","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","Portugal
						 
							 - Partido Socialista (Portugal)","1974-03-02","Coimbra","ue[dot]aporue.lraporue[at]odimet.atram",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Georgiana Teodorescu","European Conservatives and Reformists Group","Romania
						 
							 - Alianța pentru Unirea Românilor (Romania)","1985-08-19","Iasi","ue[dot]aporue.lraporue[at]ucserodoet.anaigroeg",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alice Teodorescu Måwe","Group of the European People's Party (Christian Democrats)","Sweden
						 
							 - Kristdemokraterna (Sweden)","1984-05-02","Bucharest","ue[dot]aporue.lraporue[at]ewamucserodoet.ecila","https://x.com/alicemedce",NA,"https://www.instagram.com/europaalice/",NA,NA,NA,NA,NA,NA
"Cristian Terheş","European Conservatives and Reformists Group","Romania
						 
							 - Partidului Național Conservator Român (PNCR) (Romania)",NA,NA,"ue[dot]aporue.lraporue[at]sehret.naitsirc","https://x.com/cristianterhes","https://www.facebook.com/CristianVTerhes/",NA,NA,NA,NA,NA,NA,NA
"Ingeborg Ter Laak","Group of the European People's Party (Christian Democrats)","Netherlands
						 
							 - Christen Democratisch Appèl (Netherlands)","1973-02-18","Gouda","ue[dot]aporue.lraporue[at]kaalret.grobegni","https://x.com/ingeborgterlaak",NA,"https://www.instagram.com/iterlaak/",NA,NA,NA,NA,NA,NA
"Riho Terras","Group of the European People's Party (Christian Democrats)","Estonia
						 
							 - Isamaa (Estonia)","1967-04-17","Kohtla-Järve","ue[dot]aporue.lraporue[at]sarret.ohir","https://twitter.com/RihoTerras","https://www.facebook.com/terraseuroopa","https://www.instagram.com/terras_euroopa/",NA,NA,NA,NA,NA,NA
"Hermann Tertsch","Patriots for Europe Group","Spain
						 
							 - VOX (Spain)","1958-04-09","Madrid","ue[dot]aporue.lraporue[at]hcstret.nnamreh","https://twitter.com/hermanntertsch",NA,NA,NA,NA,NA,NA,NA,NA
"Pierre-Romain Thionnet","Patriots for Europe Group","France
						 
							 - Rassemblement national (France)","1994-01-19","Pontarlier","ue[dot]aporue.lraporue[at]tennoiht.niamor-erreip","https://x.com/pr_thionnet?lang=de",NA,"https://www.instagram.com/pierre_romain_thionnet/?hl=de",NA,NA,NA,NA,NA,NA
"Beatrice Timgren","European Conservatives and Reformists Group","Sweden
						 
							 - Sverigedemokraterna (Sweden)","1989-05-12","Järfälla","ue[dot]aporue.lraporue[at]nergmit.ecirtaeb",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Irene Tinagli","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","Italy
						 
							 - Partito Democratico (Italy)","1974-04-16","Empoli","ue[dot]aporue.lraporue[at]ilganit.eneri","https://twitter.com/itinagli","https://www.facebook.com/Irene-Tinagli-142983109068196",NA,NA,"https://www.irenetinagli.it",NA,NA,NA,NA
"Bruno Tobback","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","Belgium
						 
							 - Vooruit (Belgium)","1969-08-22","Leuven","ue[dot]aporue.lraporue[at]kcabbot.onurb",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tomas Tobé","Group of the European People's Party (Christian Democrats)","Sweden
						 
							 - Moderaterna (Sweden)","1978-02-16","Gavle","ue[dot]aporue.lraporue[at]ebot.samot","https://twitter.com/tomastobe","https://www.facebook.com/TomasGTobe","https://www.instagram.com/tomastobe/",NA,NA,NA,NA,NA,NA
"Rody Tolassy","Patriots for Europe Group","France
						 
							 - Rassemblement national (France)","1987-09-21","Pointe-à-Pitre","ue[dot]aporue.lraporue[at]yssalot.ydor",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eugen Tomac","Renew Europe Group","Romania
						 
							 - Partidul Mișcarea Populară (Romania)","1981-06-27","Ismail","ue[dot]aporue.lraporue[at]camot.negue",NA,"https://www.facebook.com/tomaceugen/","https://www.instagram.com/tomaceugen/",NA,NA,NA,NA,NA,NA
"Zala Tomašič","Group of the European People's Party (Christian Democrats)","Slovenia
						 
							 - Slovenska demokratska stranka (Slovenia)","1995-09-29","Kranj","ue[dot]aporue.lraporue[at]cisamot.alaz","https://x.com/ZalaTomasic","http://www.facebook.com/zalatomasic","http://www.instagram.com/zalatomasic",NA,NA,NA,NA,NA,NA
"Waldemar Tomaszewski","European Conservatives and Reformists Group","Lithuania
						 
							 - Lietuvos lenkų rinkimų akcija – Krikščioniškų šeimų sąjunga (Lithuania)","1965-03-03","Vilnius","ue[dot]aporue.lraporue[at]ikswezsamot.ramedlaw",NA,"https://www.facebook.com/VTomasevski",NA,NA,"http://www.vtomasevski.lt",NA,NA,NA,NA
"Romana Tomc","Group of the European People's Party (Christian Democrats)","Slovenia
						 
							 - Slovenska demokratska stranka (Slovenia)","1965-11-02","Ljubljana","ue[dot]aporue.lraporue[at]cmot.anamor","https://twitter.com/RomanaTomc","https://www.facebook.com/romana.tomc","https://www.instagram.com/romanatomc/",NA,"http://www.romanatomc.si",NA,NA,NA,NA
"Matej Tonin","Group of the European People's Party (Christian Democrats)","Slovenia
						 
							 - Nova Slovenija – Krščanski demokrati (Slovenia)","1983-07-30","Ljubljana","ue[dot]aporue.lraporue[at]ninot.jetam","https://twitter.com/MatejTonin","https://www.facebook.com/tonin.si","https://www.instagram.com/matejtonin/",NA,NA,NA,NA,NA,NA
"Jana Toom","Renew Europe Group","Estonia
						 
							 - Eesti Keskerakond (Estonia)","1966-10-15","Tallinn","ue[dot]aporue.lraporue[at]moot.anay","https://twitter.com/yanatoom","https://www.facebook.com/yanatoom.ee",NA,NA,"http://yanatoom.ee/",NA,NA,NA,NA
"Raffaele Topo","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","Italy
						 
							 - Partito Democratico (Italy)","1965-03-02","Villaricca","ue[dot]aporue.lraporue[at]opot.eleaffar",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Francesco Torselli","European Conservatives and Reformists Group","Italy
						 
							 - FRATELLI D' ITALIA (Italy)","1976-03-09","FIRENZE","ue[dot]aporue.lraporue[at]illesrot.ocsecnarf","https://x.com/francetorse/","https://www.facebook.com/torsellifrancesco","https://www.instagram.com/francescotorselli76/",NA,"https://www.francescotorselli.it/",NA,NA,NA,NA
